종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"395290","HANARO Fn K-POP&미디어","8930","310","3.60","8939.70","8635","8950","8610","347497","3067737518","80816500000","0","9050000","FnGuide K-POP & 미디어 지수","853.96","28.42","3.44"
"395280","HANARO Fn K-게임","3845","0","0.00","3852.29","3840","3855","3810","32568","124746585","11535000000","0","3000000","FnGuide K-게임 지수","748.52","1.17","0.16"
"368190","HANARO Fn K-뉴딜디지털플러스","8875","40","0.45","8859.21","8720","8875","8700","45590","401712055","38162500000","0","4300000","FnGuide K-뉴딜 디지털 플러스 지수","2135.11","8.19","0.39"
"402460","HANARO Fn K-메타버스MZ","9005","255","2.91","9011.92","8780","9025","8770","7834","70013715","6303500000","0","700000","FnGuide K-메타버스 MZ 지수(시장가격)","1446.53","35.23","2.50"
"395270","HANARO Fn K-반도체","24850","150","0.61","24900.20","24610","24970","24490","4140642","102715923605","926905000000","0","37300000","FnGuide K-반도체 지수","7452.36","50.23","0.68"
"438900","HANARO Fn K-푸드","11545","15","0.13","11562.24","11530","11595","11480","56954","656250108","19626500000","0","1700000","FnGuide K-푸드 지수 (시장가격)","889.89","2.83","0.32"
"367740","HANARO Fn5G산업","23370","410","1.79","23294.38","22960","23370","22910","3873","89544170","12853500000","0","550000","FnGuide 5G 산업 지수","3949.25","52.46","1.35"
"407300","HANARO Fn골프테마","10570","-25","-0.24","10576.76","10595","10605","10540","332","3510665","5813500000","0","550000","FnGuide 골프 테마 지수","1110.87","-6.07","-0.54"
"381560","HANARO Fn전기&수소차","11810","650","5.82","11826.93","11195","11830","11195","54520","630426167","16534000000","0","1400000","FnGuide 전기&수소차 지수 (시장가격)","2688.66","145.01","5.70"
"441540","HANARO Fn조선해운","34100","900","2.71","34157.19","33570","34102","33540","101644","3448307894","126170000000","0","3700000","FnGuide 조선해운지수","5624.98","140.83","2.57"
"381570","HANARO Fn친환경에너지","9180","400","4.56","9156.43","8845","9180","8845","17373","156747770","7344000000","0","800000","FnGuide 친환경에너지 지수 (시장가격)","1766.85","60.26","3.53"
"479850","HANARO K-뷰티","14285","-145","-1.00","14256.28","14430","14440","14190","105012","1497581671","54283000000","0","3800000","FnGuide K-뷰티 지수","559.70","-7.44","-1.31"
"453060","HANARO KOFR금리액티브(합성)","109625","5","0.00","109640.37","109635","109635","109625","322","35302255","12058750000","0","110000","KOFR 지수","1178.32","0.25","0.02"
"304760","HANARO KRX300","32285","615","1.94","32202.79","31805","32310","31705","773","24824405","12914000000","0","400000","KRX 300","3196.47","41.25","1.31"
"322410","HANARO K고배당","19950","395","2.02","19970.03","19560","20005","19510","35206","693280698","26932500000","0","1350000","FnGuide 고배당 알파 지수","2983.01","70.73","2.43"
"332940","HANARO MSCI Korea TR","31285","615","2.01","31208.51","30750","31310","30665","4781","147931640","75084000000","0","2400000","MSCI Korea TR Index","3160.33","43.64","1.40"
"322400","HANARO e커머스","11935","-190","-1.57","11905.98","12065","12065","11890","20703","246862775","54304250000","0","4550000","FnGuide E커머스 지수","2035.16","-32.81","-1.59"
"473640","HANARO 글로벌금채굴기업","37730","715","1.93","37003.54","37940","38425","37250","104941","3941275308","92438500000","0","2450000","NYSE Arca Gold Miners Index (Price Return)","2760.43","0.00","0.00"
"354350","HANARO 글로벌럭셔리S&P(합성)","22230","-640","-2.80","22487.69","22735","22870","22200","2083","46405015","17117100000","0","770000","S&P Global Luxury Index","4659.98","0.00","0.00"
"461340","HANARO 글로벌생성형AI액티브","29510","-205","-0.69","29775.43","29700","29770","29035","21399","630687067","47216000000","0","1600000","Solactive United States Technology 100 Index(Price Return)","16046.10","0.00","0.00"
"424460","HANARO 글로벌워터MSCI(합성)","16445","55","0.34","16414.64","16390","16445","16350","206","3376565","9867000000","0","600000","MSCI ACWI IMI Water ESG Filtered (Price Return)","2513.18","0.00","0.00"
"401590","HANARO 글로벌탄소배출권선물ICE(합성)","12835","-175","-1.35","12967.13","12995","13020","12830","2654","34121662","6545850000","0","510000","ICE Global Carbon Futures Index(Excess Return)","727.53","0.00","0.00"
