표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,,,,,,corp_code
KR7000050005,50,경방보통주,경방,Kyungbang,1956-03-03,KOSPI,주권,,보통주,500,27415270,,50,50,50,000050,000050
KR7214390007,214390,경보제약보통주,경보제약,"KYONGBO PHARMACEUTICAL CO., LTD.",2015-06-29,KOSPI,주권,,보통주,500,23906860,,214390,214390,214390,214390,214390
KR7012610002,12610,경인양행보통주,경인양행,KyunginSynthetic,1995-10-05,KOSPI,주권,,보통주,500,41616365,,12610,12610,12610,012610,012610
KR7009140005,9140,경인전자보통주,경인전자,KyunginElectronics,1989-06-20,KOSPI,주권,,보통주,5000,1570797,,9140,9140,9140,009140,009140
KR7013580006,13580,계룡건설산업보통주,계룡건설,KyeryongConstructionIndustrial,1996-01-30,KOSPI,주권,,보통주,5000,8930907,,13580,13580,13580,013580,013580
KR7012201000,12205,계양전기1우선주,계양전기우,KeyangElectricMachinery(1P),1989-08-02,KOSPI,주권,,구형우선주,500,1169079,,12205,12205,12205,012205,012205
KR7012200002,12200,계양전기보통주,계양전기,KeyangElectricMachinery,1988-07-06,KOSPI,주권,,보통주,500,27222829,,12200,12200,12200,012200,012200
KR7002140002,2140,고려산업보통주,고려산업,KoreaIndustrial,1991-01-14,KOSPI,주권,,보통주,1000,24939425,,2140,2140,2140,002140,002140
KR7010130003,10130,고려아연보통주,고려아연,KoreaZinc,1990-07-28,KOSPI,주권,,보통주,5000,20872969,,10130,10130,10130,010130,010130
KR7002240000,2240,고려제강보통주,고려제강,KISWire,1976-05-25,KOSPI,주권,,보통주,1000,27000000,,2240,2240,2240,002240,002240
KR7009290008,9290,광동제약보통주,광동제약,KwangdongPharmaceutical,1989-11-17,KOSPI,주권,,보통주,1000,52420851,,9290,9290,9290,009290,009290
KR7017040007,17040,광명전기보통주,광명전기,KWANG MYUNG ELECTRIC,1990-09-14,KOSPI,주권,,보통주,500,43337615,,17040,17040,17040,017040,017040
KR7017900002,17900,광전자보통주,광전자,AUK,1996-10-16,KOSPI,주권,,보통주,500,57943763,,17900,17900,17900,017900,017900
